id,kural_number,text,active
quote_0025,25,"ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான்
இந்திரனே சாலுங் கரி.",1
quote_0026,26,"செயற்கரிய செய்வார் பெரியர் சிறியர்
செயற்கரிய செய்கலா தார்.",1
quote_0027,27,"சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின்
வகைதெரிவான் கட்டே உலகு.",1
quote_0028,28,"நிறைமொழி மாந்தர் பெருமை நிலத்து
மறைமொழி காட்டி விடும்.",1
quote_0029,29,"குணமென்னும் குன்றேறி நின்றார் வெகுளி
கணமேயும் காத்தல் அரிது.",1
quote_0030,30,"அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர்
க்கும் செந்தண்மை பூண்டொழுக லான்.",1
quote_0031,31,"சிறப்பு ஈனும் செல்வமும் ஈனும்
அறத்தினூஉங்கு ஆக்கம் எவனோ உயிர்க்கு.",1
quote_0032,32,"அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை
மறத்தலின் ஊங்கில்லை கேடு.",1
quote_0033,33,"ஒல்லும் வகையான் அறவினை ஓவாதே
செல்லும்வாய் எல்லாஞ் செயல்.",1
quote_0034,34,"மனத்துக்கண் மாசிலன் ஆதல் அனைத்து
அறன் ஆகுல நீர பிற.",1
quote_0035,35,"அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும்
இழுக்கா இயன்றது அறம்.",1
quote_0036,36,"அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது
பொன்றுங்கால் பொன்றாத் துணை.",1
quote_0037,37,"அறத்தாறு இதுவென வேண்டா சிவிகை
பொறுத்தானோடு ஊர்ந்தான் இடை.",1
quote_0038,38,"வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன்
வாழ்நாள் வழியடைக்கும் கல்.",1
quote_0039,39,"அறத்தான் வருவதே இன்பம் மற்
றெல்லாம் புறத்த புகழும் இல.",1
quote_0040,40,"செயற்பால தோரும் அறனே ஒருவற்கு
உயற்பால தோரும் பழி.",1
quote_0041,41,"இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும்
நல்லாற்றின் நின்ற துணை.",1
quote_0042,42,"துறந்தார்க்கும் துவ்வாதவர்க்கும் இறந்தார்க்கும் இல்வாழ்வான்
என்பான் துணை.",1
quote_0043,43,"தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு
ஐம்புலத்தாறு ஓம்பல் தலை.",1
quote_0044,44,"பழியஞ்சிப் பாத்தூண் உடைத்தாயின் வாழ்க்கை
வழியெஞ்சல் எஞ்ஞான்றும் இல்.",1
quote_0045,45,"அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை
பண்பும் பயனும் அது.",1
quote_0046,46,"அறத்தாற்றின் இல்வாழ்க்கை ஆற்றின் புறத்தாற்றில்
போஒய்ப் பெறுவ தெவன்?",1
quote_0047,47,"இயல்பினான் இல்வாழ்க்கை வாழ்பவன் என்பான்
முயல்வாருள் எல்லாம் தலை.",1
quote_0048,48,"ஆற்றின் ஒழுக்கி அறனிழுக்கா இல்வாழ்
க்கை நோற்பாரின் நோன்மை உடைத்து.",1
quote_0049,49,"அறன் எனப் பட்டதே இல்வாழ்க்கை
அஃதும் பிறன்பழிப்ப தில்லாயின் நன்று.",1
quote_0050,50,"வையத்துள் வாழ்வாங்கு வாழ்பவன் வான்உநற்யும்
தெய்வத்துள் வைக்கப் படும்.",1
quote_0051,51,"மனைக்தக்க மாண்புடையள் ஆகித்தற் கொண்டான்
வளத்தக்காள் வாழ்க்கைத் துணை.",1
quote_0052,52,"மனைமாட்சி இல்லாள்கண் இல்லாயின் வாழ்க்கை
எனைமாட்சித் தாயினும் இல்.",1
quote_0053,53,"இல்லதென் இல்லவள் மாண்பானால் உள்ளதென்
இல்லவள் மாணாக் கடை?",1
quote_0054,54,"பெண்ணின் பெருந்தக்க யாவுள கற்பென்னும்
திண்மைஉண் டாகப் பெறின்.",1
quote_0055,55,"தெய்வம் தொழாஅள் கொழுநன் தொழுதெழுவாள்
பெய்யெனப் பெய்யும் மழை.",1
quote_0056,56,"தற்காத்துத் தற்கொண்டாற் பேணித் தகைசான்ற
சொற்காத்துச் சோர்விலாள் பெண்.",1
quote_0057,57,"சிறைகாக்கும் காப்பெவன் செய்யும் மகளிர்
நிறைகாக்கும் காப்பே தலை.",1
quote_0058,58,"பெற்றாற் பெறின்பெறுவர் பெண்டிர் பெருஞ்சிறப்புப்
புத்தேளிர் வாழும் உலகு.",1
quote_0059,59,"புகழ்புரிந்த இல்லிலோர்க்கு இல்லை இகழ்வார்முன்
ஏறுபோல் பீடு நடை.",1
quote_0060,60,"மங்கலம் என்ப மனைமாட்சி மற்று
அதன் நன்கலம் நன்மக்கட் பேறு.",1
quote_0061,61,"பெறுமவற்றுள் யாமறிவது இல்லை அறிவறிந்த
மக்கட்பேறு அல்ல பிற.",1
quote_0062,62,"எழுபிறப்பும் தீயவை தீண்டா பழிபிறங்காப்
பண்புடை மக்கட் பெறின்.",1
quote_0063,63,"தம்பொருள் என்பதம் மக்கள் அவர்பொருள்
தம்தம் வினையான் வரும்.",1
quote_0064,64,"அமிழ்தினும் ஆற்ற இனிதேதம் மக்கள்
சிறுகை அளாவிய கூழ்.",1
quote_0065,65,"மக்கள்மெய் தீண்டல் உடற்கின்பம் மற்று
அவர் சொற்கேட்டல் இன்பம் செவிக்கு.",1
quote_0066,66,"குழல் இனிது யாழ்இனிது என்பதம்
மக்கள் மழலைச்சொல் கேளா தவர்.",1
quote_0067,67,"தந்தை மகற்காற்று நன்றி அவையத்து
முந்தி இருப்பச் செயல்.",1
quote_0068,68,"தம்மின்தம் மக்கள் அறிவுடைமை மாநிலத்து
மன்னுயிர்க் கெல்லாம் இனிது.",1
quote_0069,69,"ஈன்ற பொழுதின் பெரிதுவக்கும் தன்மகனைச்
சான்றோன் எனக்கேட்ட தாய்.",1
quote_0070,70,"மகன்தந்தைக்கு ஆற்றும் உதவி இவன்தந்தை
என்நோற்றான் கொல் எனும் சொல்.",1
quote_0071,71,"அன்பிற்கும் உண்டோ அடைக்குந்தாழ் ஆர்வலர்
புன்கணீர் பூசல் தரும்.",1
quote_0072,72,"அன்பிலார் எல்லாம் தமக்குரியர் அன்புடையார்
என்பும் உரியர் பிறர்க்கு.",1
quote_0073,73,"அன்போடு இயைந்த வழக்கென்ப ஆருயிர்க்கு
என்போடு இயைந்த தொடர்பு.",1
quote_0074,74,"அன்பு ஈனும் ஆர்வம் உடைமை
அதுஈனும் நண்பு என்னும் நாடாச் சிறப்பு.",1
quote_0075,75,"அன்புற்று அமர்ந்த வழக்கென்ப வையகத்து
இன்புற்றார் எய்தும் சிறப்பு.",1
quote_0076,76,"அறத்திற்கே அன்புசார் பென்ப அறியார்
மறத்திற்கும் அஃதே துணை.",1
quote_0077,77,"என்பி லதனை வெயில்போலக் காயுமே
அன்பி லதனை அறம்.",1
quote_0078,78,"அன்பகத் தில்லா உயிர்வாழ்க்கை வன்பாற்கண்
வற்றல் மரந்தளிர்த் தற்று.",1
quote_0079,79,"புறத்துறுப் பெல்லாம் எவன்செய்பு ம்
யாக்கை அகத்துறுப்பு அன்பி லவர்க்கு.",1
quote_0080,80,"அன்பின் வழியது உயிர்நிலை அஃதிலார்க்கு
என்புதோல் போர்த்த உடம்பு.",1
quote_0081,81,"இருந்தோம்பி இல்வாழ்வ தெல்லாம் விருந்தோம்பி
வேளாண்மை செய்தற் பொருட்டு.",1
quote_0082,82,"விருந்து புறத்ததாத் தானுண்டல் சாவா
மருந்தெனினும் வேண் டற்பாற் றன்று.",1
quote_0083,83,"வருவிருந்து வைகலும் ஓம்புவான் வாழ்க்கை
பருவந்து பாழ்படுதல் இன்று.",1
quote_0084,84,"அகனமர்ந்து செய்யாள் உறையும் முகனமர்ந்து
நல்விருந்து ஓம்புவான் இல்.",1
quote_0085,85,"வித்தும் இடல்வேண்டும் கொல்லோ விருந்தோம்பி
மிச்சில் மிசைவான் புலம்.",1
quote_0086,86,"செல்விருந்து ஓம்பி வருவிருந்து பார்த்திருப்பான்
நல்வருந்து வானத் தவர்க்கு.",1
quote_0087,87,"இனைத்துணைத் தென்பதொன் றில்லை விருந்தின்
துணைத்துணை வேள்விப் பயன்.",1
quote_0088,88,"பரிந்தோம்பிப் பற்றற்றேம் என்பர் விருந்தோம்பி
வேள்வி தலைப்படா தார்.",1
quote_0089,89,"உடைமையுள் இன்மை விருந்தோம்பல் ஓம்பா
மடமை மடவார்கண் உண்டு.",1
quote_0090,90,"மோப்பக் குழையும் அனிச்சம் முகந்திரிந்து
நோக்கக் குநழ்யும் விருந்து.",1
quote_0091,91,"இன்சொலால் ஈரம் அளைஇப் படிறுஇலவாம்
செம்பொருள் கண்டார்வாய்ச் சொல்.",1
quote_0092,92,"அகன்அமர்ந்து ஈதலின் நன்றே முகனமர்ந்து
இன்சொலன் ஆகப் பெறின்.",1
quote_0093,93,"முகத்தான் அமர்ந் துஇனிது நோக்கி
அகத்தானாம் இன்சொ லினதே அறம்.",1
quote_0094,94,"துன்புறூஉம் துவ்வாமை இல்லாகும் யார்மாட்டும்
இன்புறூஉம் இன்சொ லவர்க்கு.",1
quote_0095,95,"பணிவுடையன் இன்சொலன் ஆதல் ஒருவற்கு
அணியல்ல மற்றுப் பிற.",1
quote_0096,96,"அல்லவை தேய அறம்பெருகும் நல்லவை
நாடி இனிய சொலின்",1
quote_0097,97,"நயன் ஈன்று நன்றி பயக்கும்
பயன்ஈன்று பண்பின் தலைப்பிரியாச் சொல்.",1
quote_0098,98,"சிறுமையுவு நீங்கிய இன்சொல் மறுமையும்
இம்மையும் இன்பம் தரும்.",1
quote_0099,99,"இன்சொல் இனிதீன்றல் காண்பான் எவன்கொலோ
வன்சொல் வழங்கு வது?",1
quote_0100,100,"இனிய உளவாக இன்னாத கூறல்
கனிஇருப்பக் காய்கவர்ந் தற்று.",1
quote_0101,101,"செய்யாமல் செய்த உதவிக்கு வையகமும்
வானகமும் ஆற்றல் அரிது.",1
quote_0102,102,"காலத்தி னாற்செய்த நன்றி சிறிதெனினும்
ஞாலத்தின் மாணப் பெரிது.",1
quote_0103,103,"பயன்தூக்கார் செய்த உதவி நயன்தூக்கின்
நன்மை கடலின் பெரிது.",1
quote_0104,104,"தினைத்துணை நன்றி செயினும் பனைத்துணையாக்
கொள்வர் பயன்தெரி வார்.",1
quote_0105,105,"உதவி வரைத்தன்று உதவி உதவி
செயப்பட்டார் சால்பின் வரைத்து.",1
quote_0106,106,"மறவற்க மாசற்றார் கேண்மை துறவற்க
துன்பத்துள் துப்பாயார் நட்பு.",1
quote_0107,107,"எழுமை எழுபிறப்பும் உள்ளுவர் தங்கண்
விழுமந் துடைத்தவர் நட்பு.",1
quote_0108,108,"நன்றி மறப்பது நன்றன்று நன்றல்லது
அன்றே மறப்பது நன்று.",1
quote_0109,109,"கொன்றன்ன இன்னா செயினும் அவர்செய்த
ஒன்றுநன்று உள்ளக் கெடும்.",1
quote_0110,110,"எந்நன்றி கொன்றார்க்கும் உய்வுண்டாம் உய்வில்லை
செய்ந்நன்றி கொன்ற மகற்கு.",1
quote_0111,111,"தகுதி எனவொன்று நன்றே பகுதியால்
பாற்பட்டு ஒழுகப் பெறின்.",1
quote_0112,112,"செப்பம் உடையவன் ஆக்கஞ் சிதைவின்றி
எச்சத்திற் கேமாப்பு உடைத்து.",1
quote_0113,113,"நன்றே தரினும் நடுவிகந்தாம் ஆக்கத்தை
அன்றே யொழிய விடல்.",1
quote_0114,114,"தக்கார் தகவிலர் என்பது அவரவர்
எச்சத்தாற் காணப்ப படும்.",1
quote_0115,115,"கேடும் பெருக்கமும் இல்லல்ல நெஞ்சத்துக்
கோடாமை சான்றோர்க் கணி.",1
quote_0116,116,"கெடுவல்யான் என்பது அறிகதன் நெஞ்சம்
நடுவொரீஇ அல்ல செயின்.",1
quote_0117,117,"கெடுவாக வையாது உலகம் நடுவாக
நன்றிக்கண் தங்கியான் தாழ்வு.",1
quote_0118,118,"சமன்செய்து சீர்தூக்குங் கோல்போல் அமைந்தொருபால்
கோடாமை சான்றோர்க் கணி.",1
quote_0119,119,"சொற்கோட்டம் இல்லது செப்பம் ஒருதலையா
உட்கோட்டம் இன்மை பெறின்.",1
quote_0120,120,"வாணிகம் செய்வார்க்கு வாணிகம் பேணிப்
பிறவும் தமபோல் செயின்.",1
quote_0121,121,"அடக்கம் அமரருள் உய்க்கும் அடங்காமை
ஆரிருள் உய்த்து விடும்.",1
quote_0122,122,"காக்க பொருளா அடக்கத்தை ஆக்கம்
அதனினூஉங் கில்லை உயிர்க்கு.",1
quote_0123,123,"செறிவறிந்து சீர்மை பயக்கும் அறிவறிந்து
ஆற்றின் அடங்கப் பெறின்.",1
quote_0124,124,"நிலையின் திரியாது அடங்கியான் தோற்றம்
மலையினும் மாணப் பெரிது.",1
quote_0125,125,"எல்லார்க்கும் நன்றாம் பணிதல் அவருள்ளும்
செல்வர்க்கே செல்வம் தகைத்து.",1
quote_0126,126,"ஒருநம்யுள் ஆமைபோல் ஐந்தடக்கல் ஆற்றின்
எழுநம்யும் ஏமாப் புடைத்து.",1
quote_0127,127,"யாகாவா ராயினும் நாகாக்க காவாக்கால்
சோகாப்பர் சொல்லிழுக்குப் பட்டு.",1
quote_0128,128,"ஒன்றானுந் தீச்சொல் பொருட்பயன் உண்டாயின்
நன்றாகா தாகி விடும்.",1
quote_0129,129,"தீயினாற் சுட்டபுண் உள்ளாறும் ஆறாதே
நாவினாற் சுட்ட வடு.",1
quote_0130,130,"கதங்காத்துக் கற்றடங்கல் ஆற்றுவான் செவ்வி
அறம்பார்க்கும் ஆற்றின் நுழைந்து.",1
quote_0131,131,"ஒழுக்கம் விழுப்பந் தரலான் ஒழுக்கம்
உயிரினும் ஓம்பப் படும்.",1
quote_0132,132,"பரிந்தோம்பிக் காக்க ஒழுக்கம் தெரிந்தோம்பித்
தேரினும் அஃதே துணை.",1
quote_0133,133,"ஒழுக்கம் உடைமை குடிமை இழுக்கம்
இழிந்த பிறப்பாய் விடும்.",1
quote_0134,134,"மறப்பினும் ஓத்துக் கொளலாகும் பார்ப்பான்
பிறப்பொழுக்கங் குன்றக் கெடும்.",1
quote_0135,135,"அழுக்கா றுடையான்கண் ஆக்கம்போன்று இல்லை
ஒழுக்க மிலான்கண் உயர்வு.",1
quote_0136,136,"ஒழுக்கத்தின் ஒல்கார் உரவோர் இழுக்கத்தின்
ஏதம் படுபாக் கறிந்து.",1
quote_0137,137,"ஒழுக்கத்தின் எய்துவர் மேன்மை இழுக்கத்தின்
எய்துவர் எய்தாப் பழி.",1
quote_0138,138,"நன்றிக்கு வித்தாகும் நல்லொழுக்கம் தீயொழுக்கம்
என்றும் இடும்பை தரும்.",1
quote_0139,139,"ஒழுக்க முடையவர்க்கு ஒல்லாவே தீய
வழுக்கியும் வாயாற் சொலல்.",1
quote_0140,140,"உலகத்தோடு ஒட்ட ஒழுகல் பலகற்றும்
கல்லார் அறிவிலா தார்",1
quote_0141,141,"பிறன்பொருளாள் பெட்டொழுகும் பேதைமை ஞாலத்து
அறம்பொருள் கண்டார்கண் இல்.",1
quote_0142,142,"அறன்கடை நின்றாருள் எல்லாம் பிறன்கடை
நின்றாரின் பேதையார் இல்.",1
quote_0143,143,"விளிந்தாரின் வேறல்லர் மன்ற தெளிந்தாரில்
தீமை புரிந்து ஒழுகு வார்.",1
quote_0144,144,"எனைத்துணையர் ஆயினும் என்னாம் தினைத்துணையும்
தேரான் பிறனில் புகல்.",1
quote_0145,145,"எளிதென இல்லிறப்பான் எய்துமெஞ் ஞான்றும்
விளியாது நிற்கும் பழி.",1
quote_0146,146,"பகைபாவம் அச்சம் பழியென நான்கும்
இகவாவாம் இல்லிறப்பான் கண்.",1
quote_0147,147,"அறனியலான் இல்வாழ்வான் என்பான் பிறனியலாள்
பெண்மை நயவா தவன்.",1
quote_0148,148,"பிறன்மனை நோக்காத பேராண்மை சான்றோர்க்கு
அறனொன்றோ ஆன்ற வொழுக்கு.",1
quote_0149,149,"நலக்குரியார் யாரெனின் நாமநீர் வைப்பின்
பிறர்க்குரியாள் தோள்தோயா தார்.",1
quote_0150,150,"அறன்வரையான் அல்ல செயினும் பிறன்வரையாள்
பெண்மை நயவாமை நன்று.",1
quote_0151,151,"அகழ்வாரைத் தாங்கும் நிலம்போலத் தம்மை
இகழ்வார்ப் பொறுத்தல் தலை.",1
quote_0152,152,"பொறுத்தல் இறப்பினை என்றும் அதனை
மறத்தல் அதனினும் நன்று.",1
quote_0153,153,"இன்நம்யுள் இன்மை விருந்தொரால் வன்மையுள்
வன்மை மடவார்ப் பொறை.",1
quote_0154,154,"நிறையுடைமை நீங்காமை வேண்டின் பொற்யுடைமை
போற்றி யொழுகப் படும்.",1
quote_0155,155,"ஒறுத்தாரை ஒன்றாக வையாரே வைப்பர்
பொறுத்தாரைப் பொன்போற் பொதிந்து.",1
quote_0156,156,"ஒறுத்தார்க்கு ஒருநாளை இன்பம் பொறுத்தார்க்குப்
பொன்றுந் துணையும் புகழ்.",1
quote_0157,157,"திறனல்ல தற்பிறர் செய்யினும் நோநொந்து
அறனல்ல செய்யாமை நன்று.",1
quote_0158,158,"மிகுதியான் மிக்கவை செய்தாரைத் தாந்தம்
தகுதியான் வென்று விடல்.",1
quote_0159,159,"துறந்தாரின் தூய்மை உடையர் இறந்தார்வாய்
இன்னாச்சொல் நோற்கிற் பவர்.",1
quote_0160,160,"உண்ணாது நோற்பார் பெரியர் பிறர்சொல்லும்
இன்னாச்சொல் நோற்பாரின் பின்.",1
quote_0161,161,"ஒழுக்காறாக் கொள்க ஒருவன்தன் நெஞ்சத்து
அழுக்காறு இலாத இயல்பு.",1
quote_0162,162,"விழுப்பேற்றின் அஃதொப்பது இல்லையார் மாட்டும்
அழுக்காற்றின் அன்மை பெறின்.",1
quote_0163,163,"அறன்ஆக்கம் வேண்டாதான் என்பான் பிறனாக்கம்
பேணாது அழுக்கறுப் பான்.",1
quote_0164,164,"அழுக்காற்றின் அல்லவை செய்யார் இழுக்காற்றின்
ஏதம் படுபாக்கு அறிந்து.",1
quote_0165,165,"அழுக்காறு உடையார்க்கு அதுசாலும் ஒன்னார்
வழுக்காயும் கேடீன் பது.",1
quote_0166,166,"கொடுப்பது அழுக்கறுப்பான் சுற்றம் உடுப்பதூஉம்
உண்பதூஉம் இன்றிக் கெடும்.",1
quote_0167,167,"அவ்வித்து அழுக்காறு உடையானைச் செய்யவள்
தவ்வையைக் காட்டி விடும்.",1
quote_0168,168,"அழுக்காறு எனஒரு பாவி திருச்செற்றுத்
தீயுழி உய்த்து விடும்.",1
quote_0169,169,"அவ்விய நெஞ்சத்தான் ஆக்கமும் செவ்வியான்
கேடும் நினைக்கப் படும்.",1
quote_0170,170,"அழுக்கற்று அகன்றாரும் இல்லை அஃதுஇல்லார்
பெருக்கத்தில் தீர்ந்தாரும் இல்.",1
quote_0171,171,"நடுவின்றி நன்பொருள் வெஃகின் குடிபொன்றிக்
குற்றமும் ஆங்கே தரும்.",1
quote_0172,172,"படுபயன் வெஃகிப் பழிப்படுவ செய்யார்
நடுவன்மை நாணு பவர்.",1
quote_0173,173,"சிற்றின்பம் வெஃகி அறனல்ல செய்யாரே
மற்றின்பம் வேண்டு பவர்.",1
quote_0174,174,"இலமென்று வெஃகுதல் செய்யார் புலம்வென்ற
புன்மையில் காட்சி யவர்.",1
quote_0175,175,"அஃகி அகன்ற அறிவென்னாம் யார்மாட்டும்
வெஃகி வெறிய செயின்.",1
quote_0176,176,"அருள்வெஃகி ஆற்றின்கண் நின்றான் பொருள்வெஃகிப்
பொல்லாத சூழக் கெடும்.",1
quote_0177,177,"வேண்டற்க வெஃகியாம் ஆக்கம் விளைவயின்
மாண்டற் கரிதாம் பயன்.",1
quote_0178,178,"அஃகாமை செல்வத்திற்கு யாதெனின் வெஃகாமை
வேண்டும் பிறன்கைப் பொருள்.",1
quote_0179,179,"அறனறிந்து வெஃகா அறிவுடையார்ச் சேரும்
திறன்அறிந் தாங்கே திரு.",1
quote_0180,180,"இறலீனும் எண்ணாது வெஃகின் விறல்ஈனும்
வேண்டாமை என்னுஞ் செருக்கு.",1
quote_0181,181,"அறங்கூறான் அல்ல செயினும் ஒருவன்
புறங்கூறான் என்றல் இனிது.",1
quote_0182,182,"அறனழீஇ அல்லவை செய்தலின் தீதே
புறனழீஇப் பொய்த்து நகை.",1
quote_0183,183,"புறங்கூறிப் பொய்த்துயிர் வாழ்தலின் சாதல்
அறங்கூற்றும் ஆக்கத் தரும்.",1
quote_0184,184,"கண்ணின்று கண்ணறச் சொல்லினும் சொல்லற்க
முன்னின்று பின்நோக்காச் சொல்.",1
quote_0185,185,"அறஞ்சொல்லும் நெஞ்சத்தான் அன்மை புறஞ்சொல்லும்
புன்மையாற் காணப் படும்.",1
quote_0186,186,"பிறன்பழி கூறுவான் தன்பழி யுள்ளும்
திறன்தெரிந்து கூறப் படும்.",1
quote_0187,187,"பகச்சொல்லிக் கேளிர்ப் பிரிப்பர் நகச்சொல்லி
நட்பாடல் தேற்றா தவர்.",1
quote_0188,188,"துன்னியார் குற்றமும் தூற்றும் மரபினார்
என்னைகொல் ஏதிலார் மாட்டு.",1
quote_0189,189,"அறன்நோக்கி ஆற்றுங்கொல் வையம் புறன்நோக்கிப்
புன்சொல் உரைப்பான் பொறை.",1
quote_0190,190,"ஏதிலார் குற்றம்போல் தங்குற்றங் காண்கிற்பின்
தீதுண்டோ மன்னும் உயிர்க்கு.",1
quote_0191,191,"பல்லார் முனியப் பயனில சொல்லுவான்
எல்லாரும் எள்ளப் படும்.",1
quote_0192,192,"பயனில பல்லார்முன் சொல்லல் நயனில
நட்டார்கண் செய்தலிற் றீது.",1
quote_0193,193,"நயனிலன் என்பது சொல்லும் பயனில
பாரித் துரைக்கும் உரை.",1
quote_0194,194,"நயன்சாரா நன்மையின் நீக்கும் பயன்சாராப்
பண்பில்சொல் பல்லா ரகத்து.",1
quote_0195,195,"சீர்மை சிறப்பொடு நீங்கும் பயனில
நீர்மை யுடையார் சொலின்.",1
quote_0196,196,"பயனில் சொல் பராட்டு வானை
மகன்எனல் மக்கட் பதடி யெனல்.",1
quote_0197,197,"நயனில சொல்லினுஞ் சொல்லுக சான்றோர்
பயனில சொல்லாமை நன்று.",1
quote_0198,198,"அரும்பயன் ஆயும் அறிவினார் சொல்லார்
பெரும்பயன் இல்லாத சொல்.",1
quote_0199,199,"பொருள்தீர்ந்த பொச்சாந்துஞ் சொல்லார் மருள்தீர்ந்த
மாசறு காட்சி யவர்.",1
quote_0200,200,"சொல்லுக சொல்லிற் பயனுடைய சொல்லற்க
சொல்லிற் பயனிலாச் சொல்.",1
quote_0201,201,"தீவினையார் அஞ்சார் விழுமியார் அஞ்சுவர்
தீவினை என்னும் செருக்கு.",1
quote_0202,202,"தீயவை தீய பயத்தலால் தீயவை
தீயினும் அஞ்சப் படும்.",1
quote_0203,203,"அறிவினுள் எல்லாந் தலையென்ப தீய
செறுவார்க்கும் செய்யா விடல்.",1
quote_0204,204,"மறந்தும் பிறன்கேடு சூழற்க சூழின்
அறஞ்சூழம் சூழ்ந்தவன் கேடு.",1
quote_0205,205,"இலன் என்று தீயவை செய்யற்க
செய்யின் இலனாகும் மற்றும் பெயர்த்து.",1
quote_0206,206,"தீப்பால தான்பிறர்கண் செய்யற்க நோய்ப்பால
தன்னை அடல்வேண்டா தான்.",1
quote_0207,207,"எனைப்பகை யுற்றாரும் உய்வர் வினைப்பகை
வீயாது பின்சென்று அடும்.",1
quote_0208,208,"தீயவை செய்தார் கெடுதல் நிழல்தன்னை
வீயாது அஇஉறைந் தற்று.",1
quote_0209,209,"தன்னைத்தான் காதல னாயின் எனைத்தொன்றும்
துன்னற்க தீவினைப் பால்.",1
quote_0210,210,"அருங்கேடன் என்பது அறிக மருங்கோடித்
தீவினை செய்யான் எனின்.",1
quote_0211,211,"கைம்மாறு வேண்டா கடப்பாடு மாரிமாட்டு
என் ஆற்றுங் கொல்லோ உலகு.",1
quote_0212,212,"தாளாற்றித் தந்த பொருளெல்லாம் தக்கார்க்கு
வேளாண்மை செய்தற் பொருட்டு.",1
quote_0213,213,"புத்தே ளுலகத்தும் ஈண்டும் பெறலரிதே
ஒப்புரவின் நல்ல பிற.",1
quote_0214,214,"ஒத்த தறவோன் உயிர்வாழ்வான் மற்றையான்
செத்தாருள் வைக்கப் படும்.",1
quote_0215,215,"ஊருணி நீர்நிறைந் தற்றே உலகவாம்
பேரறி வாளன் திரு.",1
